item_id,price,avg_rating,category,item_view_count_7d,item_purchase_count_30d,item_avg_rating_events,item_cart_rate,item_conversion_rate,event_timestamp,created_timestamp
item_000000,126.09,3.9,electronics,1.0,4.0,3.05,0.7667,0.3667,2026-05-24 20:49:02.254366,2026-08-23 21:02:22.309587
item_000001,59.15,3.2,books,3.0,6.0,2.533333333333333,0.4688,0.4062,2026-05-24 20:49:02.254366,2026-08-23 21:02:22.309587
item_000002,473.4,3.2,electronics,2.0,3.0,3.4428571428571426,0.7143,0.4286,2026-05-24 20:49:02.254366,2026-08-23 21:02:22.309587
item_000003,656.23,4.5,home_garden,1.0,3.0,2.9555555555555557,0.9355,0.2581,2026-05-24 20:49:02.254366,2026-08-23 21:02:22.309587
item_000004,101.9,4.4,beauty,2.0,3.0,1.6428571428571428,0.5806,0.3871,2026-05-24 20:49:02.254366,2026-08-23 21:02:22.309587
item_000005,27.59,3.2,clothing,3.0,4.0,3.033333333333333,0.7576,0.3939,2026-05-24 20:49:02.254366,2026-08-23 21:02:22.309587
item_000006,70.74,3.9,food,0.0,4.0,2.425,0.7692,0.2692,2026-05-24 20:49:02.254366,2026-08-23 21:02:22.309587
item_000007,74.69,2.8,sports,7.0,8.0,2.8,0.459,0.3443,2026-05-24 20:49:02.254366,2026-08-23 21:02:22.309587
item_000008,2982.67,4.2,jewelry,1.0,9.0,3.533333333333333,0.6957,0.7391,2026-05-24 20:49:02.254366,2026-08-23 21:02:22.309587
item_000009,110.73,3.1,automotive,2.0,2.0,3.2125,0.4828,0.1379,2026-05-24 20:49:02.254366,2026-08-23 21:02:22.309587
item_000010,14.08,3.9,books,1.0,7.0,3.1,0.7917,0.75,2026-05-24 20:49:02.254366,2026-08-23 21:02:22.309587
item_000011,140.3,5.0,toys,2.0,4.0,2.783333333333333,0.4762,0.3095,2026-05-24 20:49:02.254366,2026-08-23 21:02:22.309587
item_000012,145.41,3.1,toys,0.0,6.0,3.05,0.7,0.325,2026-05-24 20:49:02.254366,2026-08-23 21:02:22.309587
item_000013,17.39,4.0,clothing,4.0,5.0,3.033333333333333,0.4524,0.2619,2026-05-24 20:49:02.254366,2026-08-23 21:02:22.309587
item_000014,1422.52,3.8,electronics,4.0,4.0,3.1399999999999997,0.5122,0.3902,2026-05-24 20:49:02.254366,2026-08-23 21:02:22.309587
item_000015,142.33,3.0,clothing,1.0,7.0,2.742857142857143,0.6667,0.4583,2026-05-24 20:49:02.254366,2026-08-23 21:02:22.309587
item_000016,1316.16,3.3,electronics,6.0,4.0,3.0,0.25,0.2917,2026-05-24 20:49:02.254366,2026-08-23 21:02:22.309587
item_000017,19.92,4.1,books,2.0,7.0,2.2399999999999998,0.6047,0.3721,2026-05-24 20:49:02.254366,2026-08-23 21:02:22.309587
item_000018,8.82,3.7,books,2.0,1.0,3.442857142857143,0.52,0.32,2026-05-24 20:49:02.254366,2026-08-23 21:02:22.309587
item_000019,550.89,4.8,electronics,0.0,3.0,2.6399999999999997,0.55,0.5,2026-05-24 20:49:02.254366,2026-08-23 21:02:22.309587
item_000020,430.67,4.1,sports,2.0,6.0,3.28,0.3571,0.3929,2026-05-24 20:49:02.254366,2026-08-23 21:02:22.309587
item_000021,880.97,3.1,jewelry,3.0,4.0,3.7,0.5455,0.2727,2026-05-24 20:49:02.254366,2026-08-23 21:02:22.309587
item_000022,7.33,4.4,food,1.0,2.0,3.3333333333333335,0.4688,0.4688,2026-05-24 20:49:02.254366,2026-08-23 21:02:22.309587
item_000023,571.07,4.5,electronics,2.0,4.0,3.7,0.9167,0.5,2026-05-24 20:49:02.254366,2026-08-23 21:02:22.309587
item_000024,39.09,4.0,food,3.0,3.0,3.04,0.5714,0.3571,2026-05-24 20:49:02.254366,2026-08-23 21:02:22.309587
item_000025,107.16,4.2,toys,7.0,6.0,2.5833333333333335,0.4561,0.3333,2026-05-24 20:49:02.254366,2026-08-23 21:02:22.309587
