item_id,item_name,category,subcategory,price,avg_rating,review_count,brand,is_available
item_000000,Bosch Cameras Model-0000,electronics,Cameras,126.09,3.9,113,Sony,True
item_000001,Random House Science Model-0001,books,Non-Fiction,59.15,3.2,0,HarperCollins,True
item_000002,Samsung Headphones Model-0002,electronics,Headphones,473.4,3.2,133,Samsung,True
item_000003,Cuisinart Bedding Model-0003,home_garden,Garden,656.23,4.5,2032,IKEA,True
item_000004,Estee Lauder Haircare Model-0004,beauty,Makeup,101.9,4.4,1878,Estee Lauder,True
item_000005,Levis T-Shirts Model-0005,clothing,Jackets,27.59,3.2,1897,Zara,True
item_000006,Nestle Organic Model-0006,food,Beverages,70.74,3.9,230,Kelloggs,True
item_000007,Under Armour Running Model-0007,sports,Yoga,74.69,2.8,3805,Puma,True
item_000008,Zales Earrings Model-0008,jewelry,Rings,2982.67,4.2,1127,Zales,True
item_000009,Michelin Electronics Model-0009,automotive,Electronics,110.73,3.1,293,3M,True
item_000010,Random House History Model-0010,books,Science,14.08,3.9,868,HarperCollins,True
item_000011,Mattel Dolls Model-0011,toys,Action Figures,140.3,5.0,2517,Fisher-Price,True
item_000012,Mattel Puzzles Model-0012,toys,Action Figures,145.41,3.1,1689,Fisher-Price,True
item_000013,Adidas Dresses Model-0013,clothing,Dresses,17.39,4.0,2751,Nike,True
item_000014,Sony Laptops Model-0014,electronics,TVs,1422.52,3.8,4009,Sony,True
item_000015,Nike Shoes Model-0015,clothing,T-Shirts,142.33,3.0,55,Adidas,True
item_000016,Bosch Cameras Model-0016,electronics,Headphones,1316.16,3.3,1955,Samsung,True
item_000017,Penguin History Model-0017,books,Tech,19.92,4.1,3228,Penguin,True
item_000018,Penguin History Model-0018,books,Non-Fiction,8.82,3.7,16,HarperCollins,True
item_000019,Bosch Laptops Model-0019,electronics,TVs,550.89,4.8,122,Samsung,True
item_000020,Nike Swimming Model-0020,sports,Cycling,430.67,4.1,10,Puma,True
item_000021,Zales Rings Model-0021,jewelry,Bracelets,880.97,3.1,683,Tiffany,True
item_000022,Nestle Supplements Model-0022,food,Beverages,7.33,4.4,4,Organic Valley,True
item_000023,LG Smartphones Model-0023,electronics,TVs,571.07,4.5,0,Samsung,True
item_000024,Kelloggs Organic Model-0024,food,Organic,39.09,4.0,724,Organic Valley,True
item_000025,Fisher-Price Board Games Model-0025,toys,Puzzles,107.16,4.2,3872,LEGO,True
item_000026,Nike Dresses Model-0026,clothing,T-Shirts,144.43,4.0,2491,Levis,True
item_000027,Cuisinart Bedding Model-0027,home_garden,Garden,484.06,4.7,96,IKEA,True
item_000028,Dyson Lighting Model-0028,home_garden,Garden,150.76,4.6,31,IKEA,True
item_000029,Philips Kitchen Model-0029,home_garden,Garden,399.23,2.8,14,Cuisinart,True
item_000030,Adidas Gym Model-0030,sports,Gym,164.14,2.7,55,Puma,True
item_000031,H&M Dresses Model-0031,clothing,T-Shirts,240.17,3.7,854,Zara,True
item_000032,Tiffany Necklaces Model-0032,jewelry,Earrings,603.66,4.4,3830,Swarovski,True
item_000033,Maybelline Haircare Model-0033,beauty,Fragrance,183.72,4.6,826,LOreal,True
item_000034,Levis T-Shirts Model-0034,clothing,T-Shirts,50.44,3.6,457,Nike,True
item_000035,Philips Bedding Model-0035,home_garden,Garden,514.78,3.7,1916,Cuisinart,True
item_000036,Zales Earrings Model-0036,jewelry,Bracelets,2313.7,3.6,15,Zales,True
item_000037,Fisher-Price Dolls Model-0037,toys,Dolls,140.84,3.7,6,Mattel,False
item_000038,Adidas Dresses Model-0038,clothing,Jackets,39.92,3.9,14,Levis,True
item_000039,Nike Gym Model-0039,sports,Gym,157.86,3.5,2763,Adidas,True
item_000040,Mattel Puzzles Model-0040,toys,Board Games,107.65,3.6,187,Mattel,True
item_000041,Adidas Running Model-0041,sports,Swimming,205.56,4.1,118,Nike,True
item_000042,Swarovski Earrings Model-0042,jewelry,Rings,4186.47,2.9,9,Tiffany,True
item_000043,Levis Jackets Model-0043,clothing,Jeans,132.52,5.0,979,Nike,True
item_000044,LEGO Puzzles Model-0044,toys,Action Figures,84.24,5.0,2017,Hasbro,True
item_000045,LOreal Fragrance Model-0045,beauty,Skincare,12.09,4.3,4000,Maybelline,False
item_000046,Philips Furniture Model-0046,home_garden,Furniture,441.2,4.8,89,Cuisinart,True
item_000047,Tiffany Rings Model-0047,jewelry,Necklaces,4994.77,3.2,969,Tiffany,True
item_000048,LOreal Makeup Model-0048,beauty,Fragrance,195.54,3.4,16,LOreal,True
item_000049,Tiffany Necklaces Model-0049,jewelry,Necklaces,3448.36,2.2,276,Pandora,True
item_000050,Michelin Accessories Model-0050,automotive,Car Care,377.79,3.8,15,Bosch,True
item_000051,Zara Dresses Model-0051,clothing,Jackets,113.47,3.9,437,Levis,True
item_000052,Estee Lauder Makeup Model-0052,beauty,Haircare,18.67,4.0,1382,Estee Lauder,True
item_000053,Fisher-Price Puzzles Model-0053,toys,Puzzles,137.12,2.7,2366,Hasbro,True
item_000054,Sony Headphones Model-0054,electronics,Smartphones,262.89,3.8,0,LG,True
item_000055,Dyson Lighting Model-0055,home_garden,Furniture,541.4,4.0,164,Dyson,True
item_000056,Dyson Bedding Model-0056,home_garden,Furniture,702.99,4.1,83,Philips,False
item_000057,Pandora Bracelets Model-0057,jewelry,Necklaces,4119.62,3.4,4294,Zales,True
item_000058,Nike Running Model-0058,sports,Running,433.55,5.0,263,Under Armour,True
item_000059,Fisher-Price Board Games Model-0059,toys,Dolls,24.4,3.6,311,Fisher-Price,True
item_000060,Samsung Smartphones Model-0060,electronics,TVs,457.51,3.9,718,Apple,True
item_000061,Philips Garden Model-0061,home_garden,Lighting,485.09,3.6,0,Cuisinart,True
item_000062,IKEA Kitchen Model-0062,home_garden,Furniture,174.28,3.4,2549,IKEA,False
item_000063,HarperCollins Non-Fiction Model-0063,books,Science,43.96,4.3,116,HarperCollins,True
item_000064,Hasbro Action Figures Model-0064,toys,Board Games,138.94,2.7,436,Fisher-Price,False
item_000065,Zara Jeans Model-0065,clothing,Jackets,90.04,4.3,873,Zara,True
item_000066,LEGO Action Figures Model-0066,toys,Puzzles,67.51,3.9,88,LEGO,True
item_000067,Apple Headphones Model-0067,electronics,TVs,1212.14,3.7,4385,Apple,True
item_000068,Kelloggs Beverages Model-0068,food,Beverages,35.2,3.0,293,Nestle,True
item_000069,Nike Gym Model-0069,sports,Gym,191.04,3.8,685,Adidas,False
item_000070,Cuisinart Lighting Model-0070,home_garden,Garden,64.46,4.3,7,Cuisinart,True
item_000071,Bosch Car Care Model-0071,automotive,Electronics,268.64,3.9,21,Castrol,True
item_000072,HarperCollins Science Model-0072,books,Science,33.09,3.8,2043,Penguin,True
item_000073,Castrol Car Care Model-0073,automotive,Tools,87.5,3.6,3,Michelin,True
item_000074,Organic Valley Snacks Model-0074,food,Organic,2.35,3.5,154,Nestle,True
item_000075,Pandora Bracelets Model-0075,jewelry,Necklaces,2836.8,3.0,272,Tiffany,True
item_000076,Cuisinart Bedding Model-0076,home_garden,Bedding,361.95,4.2,90,IKEA,True
item_000077,Cuisinart Kitchen Model-0077,home_garden,Lighting,326.27,4.0,236,Dyson,True
item_000078,Kelloggs Organic Model-0078,food,Supplements,3.8,4.3,20,Organic Valley,True
item_000079,Zara Jeans Model-0079,clothing,Dresses,186.29,3.5,775,Adidas,True
item_000080,Philips Kitchen Model-0080,home_garden,Bedding,788.73,3.7,362,Dyson,True
item_000081,Bosch Accessories Model-0081,automotive,Electronics,153.5,3.0,70,Castrol,True
item_000082,Samsung Headphones Model-0082,electronics,Cameras,599.11,2.7,4113,LG,True
item_000083,LG TVs Model-0083,electronics,Headphones,203.39,3.9,257,Samsung,True
item_000084,3M Tools Model-0084,automotive,Accessories,347.37,2.4,3226,Michelin,False
item_000085,Philips Furniture Model-0085,home_garden,Bedding,443.85,4.0,26,Philips,True
item_000086,Swarovski Necklaces Model-0086,jewelry,Bracelets,152.02,3.4,2379,Swarovski,True
item_000087,Dyson Kitchen Model-0087,home_garden,Lighting,101.07,5.0,30,Dyson,True
item_000088,Organic Valley Supplements Model-0088,food,Organic,29.68,3.8,129,Kelloggs,True
item_000089,LEGO Board Games Model-0089,toys,Action Figures,100.16,4.2,237,Fisher-Price,True
item_000090,Mattel Board Games Model-0090,toys,Dolls,92.84,3.3,570,Mattel,False
item_000091,Adidas Jackets Model-0091,clothing,Shoes,95.5,4.6,16,Zara,True
item_000092,HarperCollins History Model-0092,books,Fiction,36.13,4.7,836,Random House,True
item_000093,Nike Jackets Model-0093,clothing,Jackets,86.36,4.5,3289,Adidas,True
item_000094,Puma Cycling Model-0094,sports,Gym,293.44,5.0,183,Nike,True
item_000095,Under Armour Running Model-0095,sports,Running,400.7,3.1,1291,Puma,True
item_000096,Bosch Laptops Model-0096,electronics,Laptops,221.65,4.3,667,Bosch,True
item_000097,H&M Jeans Model-0097,clothing,Dresses,158.48,3.3,2413,Levis,True
item_000098,Michelin Accessories Model-0098,automotive,Tools,381.58,3.1,693,Bosch,True
item_000099,Bosch Accessories Model-0099,automotive,Accessories,137.13,3.8,1,Bosch,False
item_000100,Michelin Car Care Model-0100,automotive,Tools,52.59,4.0,136,Castrol,True
item_000101,Puma Swimming Model-0101,sports,Cycling,377.73,3.7,2218,Adidas,True
item_000102,Levis Jeans Model-0102,clothing,Shoes,16.84,2.9,1251,H&M,True
item_000103,Penguin History Model-0103,books,Fiction,41.08,3.8,4649,Penguin,True
item_000104,Hasbro Action Figures Model-0104,toys,Board Games,9.05,3.8,190,Hasbro,False
item_000105,Estee Lauder Skincare Model-0105,beauty,Makeup,194.8,3.1,3191,Estee Lauder,True
item_000106,Organic Valley Organic Model-0106,food,Snacks,50.55,4.8,3356,Organic Valley,False
item_000107,Random House Science Model-0107,books,Science,13.24,5.0,2508,Penguin,True
item_000108,Castrol Tools Model-0108,automotive,Tools,330.02,3.9,2243,Michelin,True
item_000109,Tiffany Earrings Model-0109,jewelry,Necklaces,4248.23,4.5,4480,Swarovski,True
item_000110,Nestle Beverages Model-0110,food,Organic,51.19,2.1,4936,Organic Valley,True
item_000111,Michelin Accessories Model-0111,automotive,Accessories,63.06,3.8,978,Bosch,True
item_000112,Castrol Tools Model-0112,automotive,Car Care,82.47,4.6,0,Castrol,True
item_000113,Philips Kitchen Model-0113,home_garden,Bedding,37.45,3.8,29,Cuisinart,True
item_000114,Penguin Fiction Model-0114,books,Fiction,39.45,3.7,291,HarperCollins,True
item_000115,Maybelline Fragrance Model-0115,beauty,Fragrance,41.84,4.3,163,Estee Lauder,True
item_000116,H&M Shoes Model-0116,clothing,Jeans,30.46,5.0,325,Zara,True
item_000117,Kelloggs Supplements Model-0117,food,Beverages,40.75,4.0,2383,Kelloggs,True
item_000118,Samsung Cameras Model-0118,electronics,Cameras,524.52,3.9,354,Bosch,True
item_000119,Samsung Cameras Model-0119,electronics,Headphones,937.24,4.7,135,Sony,True
item_000120,Estee Lauder Haircare Model-0120,beauty,Skincare,70.07,4.1,1238,LOreal,True
item_000121,Castrol Accessories Model-0121,automotive,Accessories,81.17,5.0,0,Castrol,True
item_000122,H&M Jeans Model-0122,clothing,Shoes,89.07,3.1,13,H&M,True
item_000123,Philips Furniture Model-0123,home_garden,Furniture,613.61,3.1,1338,Dyson,True
item_000124,Nestle Beverages Model-0124,food,Organic,8.92,3.2,0,Nestle,True
item_000125,Puma Swimming Model-0125,sports,Swimming,17.4,4.4,100,Nike,True
item_000126,LG TVs Model-0126,electronics,TVs,148.2,4.0,594,LG,True
item_000127,Adidas Dresses Model-0127,clothing,Jeans,241.95,3.6,1,H&M,True
item_000128,Maybelline Haircare Model-0128,beauty,Makeup,167.73,4.0,334,Maybelline,True
item_000129,HarperCollins Tech Model-0129,books,Non-Fiction,7.96,4.5,82,HarperCollins,True
item_000130,Adidas T-Shirts Model-0130,clothing,Jackets,292.57,3.6,279,Adidas,True
item_000131,IKEA Furniture Model-0131,home_garden,Bedding,515.54,4.3,4970,Philips,True
item_000132,Zara Jeans Model-0132,clothing,Jeans,266.64,3.5,0,Adidas,True
item_000133,Bosch Headphones Model-0133,electronics,Cameras,106.85,2.8,1755,LG,True
item_000134,Cuisinart Bedding Model-0134,home_garden,Bedding,649.11,3.8,1039,IKEA,True
item_000135,Bosch Electronics Model-0135,automotive,Car Care,176.92,2.7,3872,Michelin,True
item_000136,LG TVs Model-0136,electronics,Smartphones,741.86,3.6,2528,Sony,True
item_000137,Random House Science Model-0137,books,Fiction,50.52,3.9,0,Random House,True
item_000138,Under Armour Running Model-0138,sports,Cycling,313.95,3.2,13,Under Armour,True
item_000139,3M Accessories Model-0139,automotive,Tools,49.49,4.2,535,3M,True
item_000140,Puma Running Model-0140,sports,Swimming,452.1,3.6,1,Under Armour,True
item_000141,Nike Running Model-0141,sports,Gym,466.46,4.2,3626,Nike,True
item_000142,Bosch Tools Model-0142,automotive,Electronics,295.48,3.8,4138,3M,True
item_000143,Mattel Board Games Model-0143,toys,Puzzles,142.36,3.7,0,Hasbro,True
item_000144,3M Electronics Model-0144,automotive,Accessories,169.07,3.2,3633,Castrol,False
item_000145,Tiffany Earrings Model-0145,jewelry,Bracelets,2563.42,3.8,3,Tiffany,True
item_000146,Swarovski Rings Model-0146,jewelry,Earrings,2468.4,3.9,204,Zales,True
item_000147,Adidas Jeans Model-0147,clothing,Jackets,226.75,4.1,3114,Zara,True
item_000148,Tiffany Necklaces Model-0148,jewelry,Rings,2325.22,4.0,176,Tiffany,True
item_000149,Michelin Accessories Model-0149,automotive,Car Care,296.71,2.9,1113,3M,True
item_000150,IKEA Bedding Model-0150,home_garden,Bedding,104.9,4.5,1827,Philips,True
item_000151,Estee Lauder Skincare Model-0151,beauty,Makeup,113.45,4.1,641,LOreal,True
item_000152,Levis Jeans Model-0152,clothing,Shoes,128.49,3.8,265,Levis,False
item_000153,Bosch Smartphones Model-0153,electronics,Headphones,1438.1,4.0,3105,Bosch,True
item_000154,Cuisinart Lighting Model-0154,home_garden,Furniture,103.34,4.2,4263,IKEA,True
item_000155,Bosch TVs Model-0155,electronics,TVs,1411.05,5.0,0,Apple,True
item_000156,Dyson Garden Model-0156,home_garden,Bedding,383.89,3.4,0,IKEA,False
item_000157,Levis Dresses Model-0157,clothing,T-Shirts,287.87,3.4,52,Nike,True
item_000158,Under Armour Gym Model-0158,sports,Cycling,183.26,3.1,95,Adidas,True
