user_id,age,gender,country,preferred_categories,account_age_days,is_premium
user_000000,40,M,DE,"clothing,electronics,sports",1509,True
user_000001,33,M,UK,"automotive,clothing,toys",448,False
user_000002,42,F,IN,"electronics,automotive,home_garden",860,False
user_000003,53,F,AU,"sports,electronics,books",570,False
user_000004,32,M,AU,"clothing,jewelry",1736,False
user_000005,32,F,JP,"electronics,food",162,False
user_000006,53,F,US,"jewelry,beauty,home_garden",1355,False
user_000007,44,F,JP,"clothing,home_garden",570,False
user_000008,29,M,CA,"books,beauty",1438,False
user_000009,41,M,JP,"clothing,books,home_garden",553,False
user_000010,29,F,US,"automotive,home_garden,beauty",470,False
user_000011,29,M,MX,"toys,sports",1795,False
user_000012,37,M,BR,food,293,False
user_000013,18,F,MX,automotive,878,False
user_000014,18,Other,DE,"beauty,home_garden",1044,False
user_000015,28,M,DE,clothing,1623,False
user_000016,22,F,BR,"clothing,toys,automotive",1084,False
user_000017,38,F,AU,"electronics,clothing,sports",229,False
user_000018,24,M,CA,food,1026,False
user_000019,18,M,DE,"clothing,sports,home_garden",1105,False
user_000020,52,M,AU,"electronics,beauty,food",1800,False
user_000021,32,M,MX,"home_garden,electronics",162,True
user_000022,35,F,DE,"clothing,automotive",1352,False
user_000023,18,Other,IN,"books,sports,toys",1547,False
user_000024,28,M,AU,sports,898,False
user_000025,36,M,AU,"clothing,home_garden",44,False
user_000026,21,M,UK,jewelry,1450,False
user_000027,39,F,AU,clothing,146,False
user_000028,27,F,MX,"food,home_garden",1181,False
user_000029,31,M,JP,"toys,home_garden",726,False
user_000030,27,M,AU,"electronics,clothing",1640,False
user_000031,57,M,BR,home_garden,288,False
user_000032,34,F,UK,"food,home_garden",908,False
user_000033,22,Other,FR,"clothing,electronics,automotive",341,False
user_000034,44,F,DE,"home_garden,toys",777,True
user_000035,20,M,IN,"sports,food",1356,False
user_000036,37,M,US,home_garden,1187,False
user_000037,18,M,MX,beauty,977,False
user_000038,19,F,UK,"books,electronics,clothing",1219,True
user_000039,37,M,MX,toys,505,False
user_000040,43,M,MX,jewelry,1158,False
user_000041,37,M,JP,"home_garden,beauty",269,False
user_000042,33,F,UK,"food,beauty",20,False
user_000043,31,F,DE,"clothing,jewelry,home_garden",715,False
user_000044,18,M,BR,beauty,1708,False
user_000045,26,M,IN,"jewelry,automotive",614,False
user_000046,29,M,UK,books,1521,False
user_000047,47,F,FR,"sports,home_garden",1408,False
user_000048,39,M,US,"automotive,food",190,False
user_000049,18,M,DE,"electronics,jewelry",1305,False
user_000050,38,F,JP,food,1149,True
user_000051,30,F,AU,books,1193,False
user_000052,26,M,US,"books,electronics",733,False
user_000053,42,M,IN,clothing,1811,False
user_000054,47,Other,DE,"books,home_garden,jewelry",1806,False
user_000055,46,F,JP,beauty,1643,False
user_000056,24,F,UK,"home_garden,sports,books",784,False
user_000057,31,F,BR,"home_garden,jewelry",717,False
user_000058,38,M,FR,home_garden,817,False
user_000059,46,M,IN,sports,819,False
user_000060,29,F,CA,"beauty,electronics,clothing",366,False
user_000061,32,F,AU,"electronics,clothing",1493,False
user_000062,21,M,MX,"jewelry,automotive",390,False
